notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,head_cell_count,current_cell_count,cell_count_delta,head_function_defs,current_function_defs,function_def_delta,exact_source_cells_added,exact_source_cells_removed,exact_source_cells_moved,functions_moved_earlier_vs_head,git_insertions,git_deletions
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Kernel_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Kernel_Trial.ipynb,True,True,16,14,-2,4,4,0,0,2,0,,835,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Download Dataset Script.ipynb,Training/Download Dataset Script.ipynb,True,False,25,25,0,1,1,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,True,False,17,17,0,7,7,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,True,False,17,17,0,4,4,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,True,False,41,41,0,5,5,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,True,False,57,57,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,True,False,20,20,0,4,4,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,True,False,34,34,0,4,4,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,True,False,43,43,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,True,False,44,44,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,True,False,45,45,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,True,False,21,21,0,4,4,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Trial_Comparison.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Trial_Comparison.ipynb,True,False,3,3,0,2,2,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,True,False,46,46,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxFeatures_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxFeatures_Trial.ipynb,True,False,46,46,0,6,6,0,0,0,0,,,
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MinSamplesLeaf_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MinSamplesLeaf_Trial.ipynb,True,False,46,46,0,6,6,0,0,0,0,,,
